title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
돈의 속성 (400쇄 리커버 에디션),9791188331796.0,김승호 지음,스노우폭스북스,20200615.0,"17,800","16,020",경제경영
당신은 결국 무엇이든 해내는 사람 (특별 리커버 에디션),9791188469994.0,김상현 지음,필름(Feelm),20220420.0,"17,000","15,300",에세이
소유냐 존재냐,9788972917038.0,"에리히 프롬 지음, 차경아 옮김",까치,20200203.0,"13,500","12,150",인문학
멋진 신세계,9788973814725.0,"올더스 헉슬리 지음, 안정효 옮김",(주)태일소담출판사,20150612.0,"13,800","12,420",소설/시/희곡
당연하게도 나는 너를,9791167550972.0,이꽃님 지음,우리학교,20230315.0,"13,500","12,150",청소년
"돈, 뜨겁게 사랑하고 차갑게 다루어라",9791192519883.0,"앙드레 코스톨라니 지음, 한윤진 옮김",미래의창,20230912.0,"15,000","13,500",경제경영
한국단편소설 40,9788965820475.0,"김동인 외 지음, 박찬영 외 엮음",리베르,20180716.0,"16,800","15,120",청소년
창조적 행위 : 존재의 방식,9791197831744.0,"릭 루빈 지음, 정지현 옮김",코쿤북스,20230710.0,"19,800","17,820",예술/대중문화
어제와 똑같은 내가 싫어서 심리학을 공부하기 시작했습니다,9788934986676.0,"홋타 슈고 지음, 정현 옮김",김영사,20210131.0,"6,900","6,210",자기계발
나혼자 끝내는 독학 일본어 첫걸음,9791166833045.0,넥서스콘텐츠개발팀 지음,넥서스Japanese,20230103.0,"15,000","13,500",외국어
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",9791191043297.0,"이치조 미사키 지음, 권영주 옮김",모모,20210621.0,"14,000","12,600",소설/시/희곡
인간 실격 (오리지널 초판본 표지 디자인),9791190669603.0,"다자이 오사무 지음, 장하나 옮김",코너스톤,20220103.0,"3,300","2,970",소설/시/희곡
슈독 : 나이키 창업자 필 나이트 자서전,9788964359020.0,"필 나이트 지음, 안세민 옮김",사회평론,20160929.0,"22,000","19,800",경제경영
우리는 모두 죽는다는 것을 기억하라 (알라딘 단독 리커버),9791158511586.0,"웨인 W. 다이어 지음, 정지현 옮김",토네이도,20191118.0,"17,000","15,300",자기계발
해커스톡 여행영어 10분의 기적,9788965422778.0,해커스어학연구소 지음,해커스어학연구소(Hackers),20230313.0,"9,800","8,820",외국어
아몬드,9791198363510.0,손원평 지음,다즐링,20230714.0,"16,800","15,120",소설/시/희곡
부의 추월차선 (10주년 스페셜 에디션),9791187444725.0,"엠제이 드마코 지음, 신소영 옮김",토트,20220204.0,"17,500","15,750",경제경영
삼체 1~3 세트 - 전3권,9788954442688.0,"류츠신 지음, 이현아 외 옮김",자음과모음,20200706.0,"67,000","60,300",소설/시/희곡
제로 투 원 (리커버),9788947547567.0,"피터 틸.블레이크 매스터스 지음, 이지연 옮김",한국경제신문,20211004.0,"18,000","16,200",경제경영
백년운동,9791196834005.0,정선근 지음,아티잔,20191101.0,"19,500","17,550",건강/취미
대도시의 사랑법,9788936437978.0,박상영 지음,창비,20190628.0,"15,000","13,500",소설/시/희곡
카라마조프 가의 형제들 세트 - 전3권,9788937486067.0,"표도르 도스토옙스키 지음, 김연경 옮김",민음사,20121106.0,"26,000","23,400",소설/시/희곡
위대한 나의 발견 강점 혁명,9788935213573.0,갤럽 프레스 지음,청림출판,20210719.0,"30,000","27,000",자기계발
믿는 만큼 자라는 아이들,9791190275026.0,박혜란 지음,나무를심는사람들,20191025.0,"13,800","12,420",좋은부모
오픽노잼,9788962819038.0,오픽노잼 지음,파고다,20230922.0,"26,000","23,400",외국어
현명한 투자자,9788957821305.0,"벤저민 그레이엄 지음, 이건 옮김, 신진오 감수",국일증권경제연구소,20200526.0,"23,000","20,700",경제경영
사피엔스 : 그래픽 히스토리 Vol.2,9788934944188.0,"다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색",김영사,20211122.0,"19,800","17,820",인문학
초판본 인간 실격,9791164455263.0,"다자이 오사무 지음, 김소영 옮김",더스토리,20210910.0,"2,990","2,700",소설/시/희곡
ETS 토익 정기시험 기출입문서 LC 리스닝,9788917238587.0,ETS 지음,와이비엠,20211213.0,"15,000","13,500",외국어
나는 왜 네 말이 힘들까,9791190846011.0,박재연 지음,한빛라이프,20200701.0,"16,800","15,120",인문학
해커스 토플 리스닝 (Hackers TOEFL Listening),9788965426004.0,데이빗 조 (David Cho) 지음,해커스어학연구소(Hackers),20230831.0,"32,000","28,800",외국어
JLPT 일본어능력시험 한권으로 끝내기 N5,9788927712459.0,이치우.이한나 지음,다락원,20220901.0,"27,000","24,300",외국어
여학교의 별 3,9788954692991.0,"와야마 야마 지음, 현승희 옮김",문학동네,20230525.0,"8,500","7,650",만화
해커스 토익 왕기초 LC Listening (리스닝),9788965423294.0,해커스어학연구소 지음,해커스어학연구소(Hackers),20230522.0,"13,900","12,510",외국어
해리 포터와 아즈카반의 죄수 (미나리마 에디션),9791192776262.0,"J.K. 롤링 지음, 미나리마 그림, 강동혁 옮김",문학수첩,20231003.0,"38,000","34,200",소설/시/희곡
부를 끌어당기는 행동 습관,9791191618105.0,"라이너 지텔만 지음, 서정아 옮김",위북,20220905.0,"4,900","4,410",자기계발
